Date,Plant_code,Pollen_count,Season,Index_value,Plant_family
2001,Hazel,310,Late winter,2,Betulaceae
2001,Alder,1700,Late winter,3,Betulaceae
2001,Birch,5000,Spring,3,Betulaceae
2001,Ash,800,Spring,2,Fraxinus
2001,Grasses,3200,Early summer,3,Poaceae
2001,Rye,51,Early summer,1,Poaceae
2001,Mugwort,220,Mid summer,1,Asteraceae
2001,Ragweed,,,,Asteraceae
2001,Alternaria,5000,late summer/ Early autumn,3,Pleosporaceae
2001,Cladosporium,225000,late summer/ Early autumn,3,Cladosporiaceae
2001,Epicoccum,,,,Didymellaceae
2002,Hazel,820,Late winter,2,Betulaceae
2002,Alder,1800,Late winter,3,Betulaceae
2002,Birch,5000,Spring,3,Betulaceae
2002,Ash,700,Spring,2,Fraxinus
2002,Grasses,3100,Early summer,3,Poaceae
2002,Rye,81,Early summer,0,Poaceae
2002,Mugwort,320,Mid summer,1,Asteraceae
2002,Ragweed,,,,Asteraceae
2002,Alternaria,11500,late summer/ Early autumn,3,Pleosporaceae
2002,Cladosporium,160000,late summer/ Early autumn,3,Cladosporiaceae
2002,Epicoccum,,,,Didymellaceae
2003,Hazel,340,Late winter,1,Betulaceae
2003,Alder,1900,Late winter,3,Betulaceae
2003,Birch,5000,Spring,3,Betulaceae
2003,Ash,1750,Spring,3,Fraxinus
2003,Grasses,2450,Early summer,3,Poaceae
2003,Rye,69,Early summer,0,Poaceae
2003,Mugwort,280,Mid summer,1,Asteraceae
2003,Ragweed,,,,Asteraceae
2003,Alternaria,6000,late summer/ Early autumn,3,Pleosporaceae
2003,Cladosporium,290000,late summer/ Early autumn,3,Cladosporiaceae
2003,Epicoccum,,,,Didymellaceae
2004,Hazel,1100,Late winter,3,Betulaceae
2004,Alder,5000,Late winter,3,Betulaceae
2004,Birch,9700,Spring,3,Betulaceae
2004,Ash,1300,Spring,3,Fraxinus
2004,Grasses,2500,Early summer,3,Poaceae
2004,Rye,53,Early summer,0,Poaceae
2004,Mugwort,570,Mid summer,2,Asteraceae
2004,Ragweed,,,,Asteraceae
2004,Alternaria,11000,late summer/ Early autumn,3,Pleosporaceae
2004,Cladosporium,210000,late summer/ Early autumn,3,Cladosporiaceae
2004,Epicoccum,,,,Didymellaceae
2005,Hazel,400,Late winter,1,Betulaceae
2005,Alder,1600,Late winter,3,Betulaceae
2005,Birch,3750,Spring,3,Betulaceae
2005,Ash,800,Spring,2,Fraxinus
2005,Grasses,2750,Early summer,3,Poaceae
2005,Rye,45,Early summer,0,Poaceae
2005,Mugwort,220,Mid summer,1,Asteraceae
2005,Ragweed,,,,Asteraceae
2005,Alternaria,14500,late summer/ Early autumn,3,Pleosporaceae
2005,Cladosporium,225000,late summer/ Early autumn,3,Cladosporiaceae
2005,Epicoccum,,,,Didymellaceae
2006,Hazel,900,Late winter,2,Betulaceae
2006,Alder,3000,Late winter,3,Betulaceae
2006,Birch,12500,Spring,3,Betulaceae
2006,Ash,2600,Spring,3,Fraxinus
2006,Grasses,2250,Early summer,3,Poaceae
2006,Rye,44,Early summer,0,Poaceae
2006,Mugwort,180,Mid summer,1,Asteraceae
2006,Ragweed,50,late summer/ Early autumn,0,Asteraceae
2006,Alternaria,9700,late summer/ Early autumn,3,Pleosporaceae
2006,Cladosporium,260000,late summer/ Early autumn,3,Cladosporiaceae
2006,Epicoccum,,,,Didymellaceae
2007,Hazel,550,Late winter,2,Betulaceae
